key	function	accession	associated_groups	p_HL	N_HL	p_LLI	N_LLI	p_LLIILLIII	N_LLIILLIII
func_0069d5fe4ee6	penicillin binding	93057.EU95_0311,59921.EU92_0918,93060.P9215_12651,74546.PMT9312_1179	HL	0.24358974358974358	78	0	31	0	11
func_00824d5c3f49	pterin-4-alpha-carbinolamine dehydratase	1471459.JFLJ01000100_gene773,167542.P9515_06201,59919.PMM0491,93060.P9215_05731,74545.EU96_1149,167546.P9301_05181,1501268.EW14_0536,167542.P9515_05551,1471522.JFNU01000005_gene1461,74546.PMT9312_0492,167548.EU98_0001,167550.EV00_1835,59921.EU92_0860,59926.EV02_0705,59919.PMM0556	HL	0.9358974358974359	78	0	31	0	11
func_00e52e5127df	phosphonate ABC transporter,  permease protein	167548.EU98_0458	HL	0.16666666666666666	78	0	31	0	11
func_00ee7c3af7aa	metal-binding protein (DUF2103)	59919.PMM0739,489825.LYNGBM3L_32070,1173026.Glo7428_2443,167542.P9515_08441	HL,LLIILLIII	0.0641025641025641	78	0	31	0.18181818181818182	11
func_01c0ea952a55	Gkycosyl transferase family 4 group	166318.Syn8016DRAFT_2913,32051.SynWH7803_0119,243365.CV_0515,84588.SYNW0084,69042.WH5701_03214,1122201.AUAZ01000004_gene3312,1173024.KI912150_gene1272	LLI	0	78	0.06451612903225806	31	0	11
func_02876152b017	DNA helicase related to phage enzyme	1499498.EV05_1439,167539.Pro_1127,1501269.EW15_1573,1499499.EV06_1324,93059.P9211_11171	LLI,LLIILLIII	0	78	0.9032258064516129	31	0.9090909090909091	11
func_02d7025eeaaf	cpeA :: Alternative locus ID	1499498.EV05_0732,167539.Pro_0338,167555.NATL1_03861,93059.P9211_03331,1499499.EV06_0463	LLI,LLIILLIII	0	78	0.8709677419354839	31	0.9090909090909091	11
func_031a800a3c9b	ams1 :: Alpha mannosidase, middle domain	1499502.EV12_1652,74547.PMT_1839		0	78	0	31	0	11
func_031e77bf1a6a	rfaE :: Phosphomethylpyrimidine kinase	1280380.KR100_01405	HL	0.07692307692307693	78	0	31	0	11
func_032c51272937	TIGRFAM TIGR03032 family protein	93060.P9215_13001,272123.Anacy_3574,74546.PMT9312_1202,1501269.EW15_0541,1501269.EW15_2195,59925.EU91_1390	HL,LLI	0.08974358974358974	78	0.16129032258064516	31	0	11
func_0347ed30ea34	Voltage gated chloride channel	74547.PMT_0762,1499502.EV12_2560		0	78	0	31	0	11
func_03530d0f1db7	Lipopolysaccharide-assembly,  LptC-related	1501269.EW15_1033,167555.NATL1_10161,1499502.EV12_2581,74547.PMT_0744	LLI	0	78	0.9032258064516129	31	0	11
func_03ae38418d70	Serine threonine specific protein phosphatase	59925.EU91_0749,59919.PMM0727,74546.PMT9312_0731,167546.P9301_07811,1501268.EW14_0809,167542.P9515_08611,59926.EV02_0075,146891.A9601_07811,167548.EU98_0408,93060.P9215_08151	HL	0.8076923076923077	78	0	31	0	11
func_03e1aeb98351	Cys/Met metabolism PLP-dependent enzyme	439493.PB7211_728,1345695.CLSA_c39580	HL,LLI	0.01282051282051282	78	0.12903225806451613	31	0	11
func_0415ac6775d1	urtD :: Alternative locus ID	93060.P9215_09151,1501269.EW15_1977,93057.EU95_0270,59926.EV02_0176,167546.P9301_08831,167555.NATL1_19161,74546.PMT9312_0826,167550.EV00_1473,59925.EU91_0855,1501268.EW14_0914,59921.EU92_0671,167548.EU98_0544,59919.PMM0973	HL,LLI	0.8846153846153846	78	1.0	31	0	11
func_048fc6fda2ca	psbM :: One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. This subunit is found at the monomer-monomer interface	167550.EV00_0346,74546.PMT9312_0323,167555.NATL1_04071	HL,LLI	0.9615384615384616	78	0.5806451612903226	31	0	11
func_04e57cf8799e	Tryptophan-rich Synechocystis species C-terminal domain	221359.RS9916_37077,1280380.KR100_07485	HL,LLIILLIII	0.038461538461538464	78	0	31	0.09090909090909091	11
func_051ab83622bf	short chain dehydrogenase	167548.EU98_1817,232348.ADXL01000091_gene449,93060.P9215_04901,167548.EU98_0758,59919.PMM0414,59926.EV02_0789,74546.PMT9312_0409,167546.P9301_04331,93057.EU95_0046,167542.P9515_04751,167550.EV00_1919,167555.NATL1_10851,1501269.EW15_1103,59925.EU91_0578,1501268.EW14_0451,1471459.JFLJ01000095_gene1413,74547.PMT_2034,59921.EU92_1123,74545.EU96_1066	HL,LLI	0.9230769230769231	78	0.8709677419354839	31	0	11
func_0522cc038a94	comE :: Competence protein	1499502.EV12_0803,74547.PMT_0289		0	78	0	31	0	11
func_05a8d8c7756b	sigC :: Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	74547.PMT_2217,1499502.EV12_2343		0	78	0	31	0	11
