key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_HL	N_HL	p_LLI	N_LLI	p_LLIILLIII	N_LLIILLIII	p_LLIV	N_LLIV
func_a3e9ba3585a2	130.00344791839868	5.39921210036577e-28	1.0540554385745946e-28	LLIILLIII	1499499.EV06_1376,93059.P9211_11631,167539.Pro_0892,1499498.EV05_1390,167539.Pro_1174	Iron starvation-induced chlorophyll a(B) binding protein IsiA	0	78	0	31	1	11	0	10
func_031a800a3c9b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1652,74547.PMT_1839	ams1 :: Alpha mannosidase, middle domain	0	78	0	31	0	11	1	10
func_0347ed30ea34	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2560,74547.PMT_0762	Voltage gated chloride channel	0	78	0	31	0	11	1	10
func_0522cc038a94	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0289,1499502.EV12_0803	comE :: Competence protein	0	78	0	31	0	11	1	10
func_05a8d8c7756b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2343,74547.PMT_2217	sigC :: Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	0	78	0	31	0	11	1	10
func_07846b0899f2	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0777,74547.PMT_0325	Domain of unknown function (DUF4359)	0	78	0	31	0	11	1	10
func_08c10449ebec	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0326,1499502.EV12_0776	codA :: Amidohydrolase family	0	78	0	31	0	11	1	10
func_0b4da8a453d6	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1771	isp :: cell adhesion	0	78	0	31	0	11	1	10
func_106ca0cd00cf	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1937	glcF :: Cysteine-rich domain	0	78	0	31	0	11	1	10
func_12c9267f4107	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1112,1499502.EV12_1031	RNA pseudouridylate synthase	0	78	0	31	0	11	1	10
func_1472ba28f84c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2058,74547.PMT_1197	cbbX :: ATPase family associated with various cellular activities (AAA)	0	78	0	31	0	11	1	10
func_148c06e0108d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0861	Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation,  perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA	0	78	0	31	0	11	1	10
func_14c06a648e5d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0747,1499502.EV12_2578	TPM domain	0	78	0	31	0	11	1	10
func_15679c702999	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1372,1499502.EV12_1929	Uncharacterized ACR,  COG1399	0	78	0	31	0	11	1	10
func_170b08e581ac	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0392,74547.PMT_1658	Ribosomal protein S14p S29e	0	78	0	31	0	11	1	10
func_18ee3237bdbf	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2568,74547.PMT_0755	Uncharacterised protein family (UPF0182)	0	78	0	31	0	11	1	10
func_19d43fbe1aed	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1088,1499502.EV12_2509	Phospholipid methyltransferase	0	78	0	31	0	11	1	10
func_1bd5a541fc56	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2264,74547.PMT_2161	Part of the tripartite ATP-independent periplasmic (TRAP) transport system	0	78	0	31	0	11	1	10
func_1fc2c698d4f3	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1834,74547.PMT_0174	Multidrug efflux MFS family transporter	0	78	0	31	0	11	1	10
func_215740833081	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1602,74547.PMT_1806	ndbA :: Pyridine nucleotide-disulphide oxidoreductase	0	78	0	31	0	11	1	10
func_21bf8cf0af46	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1691,74547.PMT_1873	Major Facilitator Superfamily	0	78	0	31	0	11	1	10
func_21d6d7c97bfb	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2446,74547.PMT_1313	pilT2 :: Type II/IV secretion system protein	0	78	0	31	0	11	1	10
func_23ad7679c2a0	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1072,1499502.EV12_2220	LytR-membrane bound transcriptional regulator	0	78	0	31	0	11	1	10
func_2463eb040b6c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1819	FIST_C	0	78	0	31	0	11	1	10
func_2652d89b24c1	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1370,74547.PMT_2030,1499502.EV12_2761,74547.PMT_0602	AI-2E family transporter	0	78	0	31	0	11	1	10
func_27d30e8892e4	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1516,1499502.EV12_0526,1499502.EV12_1286	Sulfatase-modifying factor enzyme 1	0	78	0	31	0	11	1	10
func_28691a23178e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0709,74547.PMT_1607	sufR :: Winged helix-turn-helix DNA-binding	0	78	0	31	0	11	1	10
func_29362f6fc960	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0784	Sigma-70 region 2	0	78	0	31	0	11	1	10
func_296fc96ef780	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0623	gdhA :: Belongs to the Glu Leu Phe Val dehydrogenases family	0	78	0	31	0	11	1	10
func_2e2842063ec0	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0541,1499502.EV12_2836	nifJ :: Pyruvate:ferredoxin oxidoreductase core domain II	0	78	0	31	0	11	1	10
